MW Drug,MW Sol,ALOGPS 2.1 solubility,minVSLgS 3-7.5,CLogP,HBA,HBD,PSA,Ro5,PSDA,Fa,predicted Fa,,0.00074222,0.00025154,-0.17893897,0.02243682,-0.02528684,0.02763966,-0.03970349,-0.00122711,-0.19992989,0.00098543,,,,,
480.57,480.57,-4.49,-0.27,-3.05,8,2,152.65,0,3.15,0.96,1.309618951,,0.356687426,0.120882158,0.803435975,-0.006005731,0.077124862,0.22111728,-0.07940698,-0.187318342,0,0.003102302,,,,,
453.46,453.46,-3.63,0.91,0.25,10,4,193.48,0,2.34,0.5,0.996648751,,0.336563556,0.114062134,0.649548461,0.020325381,-0.00632171,0.2763966,-0.15881396,-0.237421243,0,0.002309533,,,,,
554.59,554.59,-3.72,0.31,0.02,12,4,216.88,2,2.56,0.01,0.732588002,,0.411624494,0.139500452,0.665652968,0.00692941,-0.000505737,0.33167592,-0.15881396,-0.266135617,-0.39985978,0.002519851,,,,,
424.39,424.39,-3.18,-1.76,0.23,7,3,179.19,0,2.37,0.44,0.802203545,,0.314992171,0.106751544,0.569025925,-0.039565313,-0.005815973,0.19347762,-0.11911047,-0.219885841,0,0.002333883,,,,,
347.4,347.4,-3.08,-0.28,-1.84,5,3,121.09,0,2.87,1,0.810025402,,0.257843955,0.087383887,0.551132028,-0.006186437,0.046527786,0.1381983,-0.11911047,-0.14859075,0,0.002827104,,,,,
349.41,349.41,-2.66,-0.07,-1.73,5,3,121.09,0,2.89,1,0.738709111,,0.259340226,0.087890976,0.47597766,-0.001586575,0.043746233,0.1381983,-0.11911047,-0.14859075,0,0.00284351,,,,,
459.56,459.56,-5,-2,3.56,6,3,104.98,0,4.38,1,1.138688889,,0.341096835,0.115598472,0.89469485,-0.044899442,-0.09002115,0.16583796,-0.11911047,-0.128822008,0,0.004313842,,,,,
304.22,304.22,-3.6,-0.27,3.63,3,1,41.7,0,7.3,1,0.847882857,,0.225797448,0.076523255,0.644180292,-0.006061038,-0.091791229,0.08291898,-0.03970349,-0.051170487,0,0.007189126,,,,,
323.13,323.13,-2.84,-2.79,1.28,5,3,122.11,0,2.65,0.9,0.606204817,,0.23983703,0.0812813,0.508186675,-0.062586163,-0.032367155,0.1381983,-0.11911047,-0.149842402,0,0.002607703,,,,,
299.76,299.76,-4.18,-2.65,3.79,3,1,45.94,0,6.53,0.01,0.883773429,,0.222489708,0.075402254,0.747964895,-0.059518377,-0.095837124,0.08291898,-0.03970349,-0.056373433,0,0.006430016,,,,,
319.88,319.88,-4.28,-1.17,5.06,3,1,25.69,1,12.45,1,0.753612055,,0.237422091,0.080462872,0.765858792,-0.026211591,-0.12795141,0.08291898,-0.03970349,-0.031524456,-0.19992989,0.012270158,,,,,
274.8,274.8,-3.69,-1.57,3.15,2,0,11.42,0,24.06,0.94,0.883562844,,0.203959258,0.069122244,0.660284799,-0.035127758,-0.079653546,0.05527932,0,-0.014013596,0,0.023712123,,,,,
318.87,318.87,-4.88,-2.69,5.3,2,0,1.75,1,182.21,1,1.028518385,,0.236672716,0.080208907,0.873222174,-0.060324532,-0.134020252,0.05527932,0,-0.002147443,-0.19992989,0.179557385,,,,,
276.74,276.74,-3.25,-2.66,2.35,3,2,84.94,0,3.26,1,0.640023486,,0.205404716,0.069612113,0.581551653,-0.059612836,-0.059424074,0.08291898,-0.07940698,-0.104230723,0,0.003210638,,,,,
338.77,338.77,-3.82,-2.98,0.45,4,3,120.9,0,2.8,0.82,0.787881914,,0.251443183,0.085214651,0.683546865,-0.066795535,-0.011379078,0.11055864,-0.11911047,-0.148357599,0,0.002761256,,,,,
279.19,279.19,-1.35,2.99,-2.39,8,4,152.23,0,1.83,0.05,0.523765729,,0.207221203,0.070227724,0.24156761,0.067005992,0.060435548,0.22111728,-0.15881396,-0.186802955,0,0.001807287,,,,,
252.34,252.34,-2.46,-1.91,0.19,5,3,81.67,0,3.09,0.68,0.565198686,,0.187294185,0.063474414,0.440189866,-0.042869808,-0.0048045,0.1381983,-0.11911047,-0.100218074,0,0.003044773,,,,,
331.35,331.35,-2.42,-0.45,-0.73,6,2,75.12,0,4.41,0.75,0.769275557,,0.245934382,0.083347706,0.433032307,-0.01009538,0.018459393,0.16583796,-0.07940698,-0.092180503,0,0.004346671,,,,,
324.4,324.4,-4.72,-2.83,3.13,3,0,28.67,0,11.32,1,1.083177677,,0.240777333,0.081599971,0.844591938,-0.063531651,-0.079147809,0.08291898,0,-0.035181244,0,0.011150158,,,,,
747.97,747.97,-3.52,-4,2.37,13,4,189.5,2,3.95,1,0.795479707,,0.555160171,0.18814501,0.629865174,-0.089754909,-0.059929811,0.35931558,-0.15881396,-0.232537345,-0.39985978,0.003889576,,,,,
199.16,199.16,0.22,0.31,-1.07,5,2,91.63,0,2.17,0.9,0.140958449,,0.147823972,0.050097871,-0.039366573,0.006853125,0.027056919,0.1381983,-0.07940698,-0.112440089,0,0.002141906,,,,,
315.72,315.72,-4.47,-3.96,2.38,4,1,86.3,0,3.66,0.98,0.93302806,,0.2343324,0.079415769,0.799857196,-0.08895526,-0.060182679,0.11055864,-0.03970349,-0.105899593,0,0.003605078,,,,,
435.89,435.89,-3.92,-2.98,2.52,5,2,116.46,0,3.74,0.75,0.923585947,,0.323525838,0.109643622,0.701440762,-0.06687182,-0.063722837,0.1381983,-0.07940698,-0.142909231,0,0.003688292,,,,,
326.83,326.83,-3.23,-4.37,3.71,4,1,25.63,0,12.75,0.55,0.762855469,,0.242581195,0.082211304,0.577972873,-0.09806618,-0.093814176,0.11055864,-0.03970349,-0.031450829,0,0.012566133,,,,,
498.59,535.04,-5.45,-6.73,5,3,2,75.9,0,6.57,1,1.119299526,,0.370063188,0.134583962,0.975217387,-0.150978484,-0.1264342,0.08291898,-0.07940698,-0.093137649,0,0.006473322,,,,,
261.09,261.09,-1.22,-1.92,0.8,2,1,44.31,0,5.89,0.9,0.381376208,,0.193785923,0.065674478,0.218305543,-0.043169339,-0.020229472,0.05527932,-0.03970349,-0.054373244,0,0.005806489,,,,,
1202.64,1202.64,-5.09,-10.73,14.36,12,5,290.07,3,4.15,0.86,0.683685571,,0.892625294,0.302512687,0.910799357,-0.240639382,-0.363119022,0.33167592,-0.19851745,-0.355947798,-0.59978967,0.004085634,,,,,
248.31,248.31,-2.94,-2.71,0.89,4,2,92.1,0,2.7,1,0.610271516,,0.184297412,0.062458801,0.526080572,-0.060851573,-0.022505288,0.11055864,-0.07940698,-0.113016831,0,0.002656763,,,,,
266.39,266.39,-3.81,-0.8,4.47,2,1,15.14,0,17.6,1,0.829909701,,0.19771957,0.0670076,0.681757476,-0.01787887,-0.113032175,0.05527932,-0.03970349,-0.018578445,0,0.017338715,,,,,
392.47,392.47,-3.9,-3.65,1.79,5,3,104.22,0,3.77,0.9,0.855719552,,0.291300442,0.098722364,0.697861983,-0.081811152,-0.045263444,0.1381983,-0.11911047,-0.127889404,0,0.003710934,,,,,
284.75,284.75,-4.37,-3.75,2.96,2,0,28.76,0,9.9,1,0.935768553,,0.21134552,0.071625464,0.781963299,-0.084060892,-0.074849046,0.05527932,0,-0.035291684,0,0.009756573,,,,,
230.67,230.67,-2.62,-2,1.42,3,1,61.41,0,3.76,0.91,0.588944105,,0.171210997,0.058023786,0.468820101,-0.0447637,-0.035907313,0.08291898,-0.03970349,-0.075356825,0,0.003701568,,,,,
296.16,296.16,-4.82,-3.43,4.73,3,2,54.8,0,5.4,1,0.901902767,,0.219812364,0.074494897,0.862485835,-0.076875501,-0.119606753,0.08291898,-0.07940698,-0.067245628,0,0.005325553,,,,,
470.33,470.33,-4.21,-3.36,2.98,5,2,116.46,0,4.04,1,0.989755031,,0.349091628,0.118307925,0.753333064,-0.075484642,-0.075354783,0.1381983,-0.07940698,-0.142909231,0,0.00397975,,,,,
236.23,236.23,-1.55,-1.62,-1.65,6,2,84.65,0,2.79,0.5,0.502731669,,0.175336219,0.059421832,0.277355404,-0.036411145,0.041723286,0.16583796,-0.07940698,-0.103874862,0,0.002749954,,,,,
780.96,780.96,-3.79,-6.3,1.42,13,6,215.17,3,3.63,0.81,0.537889104,,0.579643263,0.196442384,0.678178696,-0.141312253,-0.035907313,0.35931558,-0.23822094,-0.264037259,-0.59978967,0.003576615,,,,,
414.53,414.53,-4.4,-3.77,3.65,4,0,56.49,0,7.34,0.9,1.070939681,,0.307670616,0.104270252,0.787331468,-0.084506039,-0.092296966,0.11055864,0,-0.069319444,0,0.007231153,,,,,
339.48,339.48,-3.89,-0.79,2.58,3,1,57.66,0,5.89,0.83,0.928658757,,0.251972393,0.085394002,0.696072593,-0.017802428,-0.065240047,0.08291898,-0.03970349,-0.070755163,0,0.005801916,,,,,
